================ Training Loss (Fri Jun 16 23:20:50 2023) ================
(epoch: 161, iters: 160, time: 0.032, data: 0.002) D_A: 0.247 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.268 cycle_B: 2.610 idt_B: 0.000 
(epoch: 162, iters: 416, time: 0.032, data: 0.000) D_A: 0.254 G_A: 0.016 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.252 cycle_B: 2.651 idt_B: 0.000 
(epoch: 164, iters: 128, time: 0.039, data: 0.001) D_A: 0.255 G_A: 0.016 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.249 cycle_B: 2.633 idt_B: 0.000 
(epoch: 165, iters: 384, time: 0.040, data: 0.002) D_A: 0.245 G_A: 0.015 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.263 cycle_B: 2.672 idt_B: 0.000 
(epoch: 167, iters: 96, time: 0.038, data: 0.002) D_A: 0.246 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.262 cycle_B: 2.680 idt_B: 0.000 
(epoch: 168, iters: 352, time: 0.037, data: 0.007) D_A: 0.254 G_A: 0.014 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.250 cycle_B: 2.639 idt_B: 0.000 
(epoch: 170, iters: 64, time: 0.041, data: 0.002) D_A: 0.248 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.009 G_B: 0.257 cycle_B: 2.652 idt_B: 0.000 
(epoch: 171, iters: 320, time: 0.033, data: 0.000) D_A: 0.260 G_A: 0.015 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.253 cycle_B: 2.652 idt_B: 0.000 
(epoch: 173, iters: 32, time: 0.036, data: 0.002) D_A: 0.252 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.251 cycle_B: 2.589 idt_B: 0.000 
(epoch: 174, iters: 288, time: 0.044, data: 0.000) D_A: 0.254 G_A: 0.014 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.249 cycle_B: 2.629 idt_B: 0.000 
